element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Br,35,,,0.075280353,0.000000008,,2.8749e+13,AA,0.0000,(16469.6622),1s,2S,1/2,6p,2P*,1/2,,T7771,
Br,35,,,0.076216297,0.000000009,,5.1219e+13,AA,0.0000,(16267.4131),1s,2S,1/2,5p,2P*,3/2,,T7771,
Br,35,,,0.076237552,0.000000009,,5.0263e+13,AA,0.0000,(16262.8777),1s,2S,1/2,5p,2P*,1/2,,T7771,
Br,35,,,0.078025916,0.000000010,,1.0160e+14,AA,0.0000,(15890.1304),1s,2S,1/2,4p,2P*,3/2,,T7771,
Br,35,,,0.078069501,0.000000014,,1.0021e+14,AA,0.0000,(15881.2593),1s,2S,1/2,4p,2P*,1/2,,T7771,
Br,35,,,0.08224408,0.00000003,,2.4892e+14,AA,0.0000,(15075.152),1s,2S,1/2,3p,2P*,3/2,,T7771,
Br,35,,,0.08235912,0.00000003,,2.4797e+14,AA,0.0000,(15054.094),1s,2S,1/2,3p,2P*,1/2,,T7771,
Br,35,,,0.097216478,0.000000016,,9.2428e+14,AA,0.0000,(12753.4140),1s,2S,1/2,2p,2P*,3/2,,T7771,
Br,35,,,0.097760627,0.000000016,,9.4595e+14,AA,0.0000,(12682.4267),1s,2S,1/2,2p,2P*,1/2,,T7771,
Br,33,,,0.1000449,0.0000005,,,,[68.8684],(12461.72),1s2.2p,2P*,1/2,1s.2p2,2S,1/2,,,
Br,33,,,0.1002150,0.0000005,,,,[68.8684],(12440.69),1s2.2p,2P*,1/2,1s.2p2,2P,3/2,,,
Br,33,,,0.1004496,0.0000005,,,,0.0000,(12342.93),1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,3/2,,,
Br,33,,,0.1005116,0.0000005,,,,[126.4101],(12461.72),1s2.2p,2P*,3/2,1s.2p2,2S,1/2,,,
Br,33,,,0.1005128,0.0000005,,,,0.0000,(12335.16),1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,1/2,,,
Br,33,,,0.1006773,0.0000005,,,,0.0000,(12315.00),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),2P*,3/2,,,
Br,33,,,0.1006833,0.0000005,,,,[126.4101],(12440.69),1s2.2p,2P*,3/2,1s.2p2,2P,3/2,,,
Br,33,,,0.1007210,0.0000005,,,,[68.8684],(12378.54),1s2.2p,2P*,1/2,1s.2p2,2D,3/2,,,
Br,33,,,0.1007610,0.0000004,,,,[68.8684],(12373.65),1s2.2p,2P*,1/2,1s.2p2,2P,1/2,,,
Br,33,,,0.1008740,0.0000005,,,,[126.4101],(12417.40),1s2.2p,2P*,3/2,1s.2p2,2D,5/2,,,
Br,33,,,0.1008999,0.0000004,,,,[68.8684],(12356.71),1s2.2p,2P*,1/2,1s.2p2,4P,5/2,,,
Br,33,,,0.1009909,0.0000004,,,,[68.8684],(12345.64),1s2.2p,2P*,1/2,1s.2p2,4P,3/2,,,
Br,33,,,0.1010157,0.0000005,,,,0.0000,(12273.75),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),2P*,1/2,,,
Br,33,,,0.1010284,0.0000005,,,,0.0000,(12272.21),1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),4P*,5/2,,,
Br,33,,,0.1011940,0.0000005,,,,[126.4101],(12378.54),1s2.2p,2P*,3/2,1s.2p2,2D,3/2,,,
Br,33,,,0.1012344,0.0000005,,,,[126.4101],(12373.65),1s2.2p,2P*,3/2,1s.2p2,2P,1/2,,,
Br,33,,,0.1013230,0.0000005,,,,[68.8684],(12305.40),1s2.2p,2P*,1/2,1s.2p2,4P,1/2,,,
Br,33,,,0.1013746,0.0000005,,,,[126.4101],(12356.71),1s2.2p,2P*,3/2,1s.2p2,4P,5/2,,,
