element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
K,19,,,0.256506698,0.000000003,,1.5973e+12,AA,0.00000,(4833.565723),1s,2S,1/2,7p,2P*,1/2,,T7771,
K,19,,,0.258449486,0.000000003,,2.5508e+12,AA,0.00000,(4797.231373),1s,2S,1/2,6p,2P*,1/2,,T7771,
K,19,,,0.261717910,0.000000003,,4.4725e+12,AA,0.00000,(4737.32190),1s,2S,1/2,5p,2P*,3/2,,T7771,
K,19,,,0.261739065,0.000000003,,4.4489e+12,AA,0.00000,(4736.93900),1s,2S,1/2,5p,2P*,1/2,,T7771,
K,19,,,0.267980394,0.000000004,,8.8717e+12,AA,0.00000,(4626.61452),1s,2S,1/2,4p,2P*,3/2,,T7771,
K,19,,,0.268023736,0.000000005,,8.8377e+12,AA,0.00000,(4625.86636),1s,2S,1/2,4p,2P*,1/2,,T7771,
K,19,,,0.282588679,0.000000007,,2.1754e+13,AA,0.00000,(4387.44393),1s,2S,1/2,3p,2P*,3/2,,T7771,
K,19,,,0.282702994,0.000000009,,2.1732e+13,AA,0.00000,(4385.66980),1s,2S,1/2,3p,2P*,1/2,,T7771,
K,18,0.300860,0.000011,0.3008645,0.0000003,,3.72e+13,,0.00000,(4120.931),1s2,1S,0,1s.3p,1P*,1,,T6456,L6540
K,18,0.30112,0.00005,0.3012174,0.0000003,,9.10e+11,,0.00000,(4116.104),1s2,1S,0,1s.3p,3P*,1,,T6456,L4466c7
K,17,0.30431,0.00005,0.30431,0.00009,13p,,,0.0000,4074.2,1s2.2s,2S,1/2,1s.2s.(1S).3p,2P*,"1/2,3/2",,,L4466c7
K,17,0.30608,0.00019,0.30608,0.00019,*,1.25e+13,,[33.9082],4084.7,1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2D,3/2,,T5076,L10003
K,17,0.30608,0.00005,0.30608,0.00019,*,1.05e+13,,[33.9082],4084.7,1s2.2p,2P*,1/2,1s.2s.(1S).3d,2D,3/2,,T5076,L10003
K,17,0.30608,0.00019,0.30608,0.00019,*,3.12e+13,,[37.9426],4088.6,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2D,5/2,,T5076,L10003
K,17,0.30672,0.00005,0.30657,0.00009,9*,,,[33.9082],4078.1,1s2.2p,2P*,1/2,1s.2p.(3P*).3p,2P,"1/2,3/2",,,L4466c7
K,17,0.30672,0.00005,0.30688,0.00009,9*,,,[37.9426],4078.1,1s2.2p,2P*,3/2,1s.2p.(3P*).3p,2P,"1/2,3/2",,,L4466c7
K,17,0.30742,0.00005,0.30727,0.00009,9*,,,[33.9082],4068.9,1s2.2p,2P*,1/2,1s.2s.(3S).3d,2D,"3/2,5/2",,,L4466c7
K,17,0.30742,0.00005,0.30758,0.00009,9*,,,[37.9426],4068.9,1s2.2p,2P*,3/2,1s.2s.(3S).3d,2D,"3/2,5/2",,,L4466c7
K,19,,,0.334668919,0.000000006,,8.1275e+13,AA,0.00000,(3704.68219),1s,2S,1/2,2p,2P*,3/2,,T7771,
K,19,,,0.335210554,0.000000006,,8.1824e+13,AA,0.00000,(3698.69614),1s,2S,1/2,2p,2P*,1/2,,T7771,
