element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Nd,1,276.498,,75,,,,,,,,,,,,,L3475
Nd,1,278.579,,60,,,,,,,,,,,,,L3475
Nd,2,296.288,296.28637+,55,,,0.5594781,4.7428630,4f4.(5I).6s,4I,13/2,,*,11/2,,,L3475
Nd,2,296.358,,65,,,,,,,,,,,,,L3475
Nd,2,299.320,299.31812+,80,,,0.0636448,4.2046588,4f4.(5I).6s,6I,9/2,,*,11/2,,,L3475
Nd,2,300.797,300.79720+,95,,,1.2511692,5.3718218,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,7/2,,,L3475
Nd,2,301.419,301.41655+,95,,,0.2045993,4.3167851,4f4.(5I).6s,4I,9/2,,*,7/2,,,L3475
Nd,2,301.835,301.83319+,95,,,1.2511692,5.3576790,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.6s.6p,6I,7/2,,,L3475
Nd,2,302.647,302.64784+,80,,,1.3747077,5.4701642,4f3.(4I*).5d2.(3F),6L*,11/2,4f3.6s.6p,6I,9/2,,,L3475
Nd,2,303.898,303.90460+,50,,,1.2511692,5.3296901,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,11/2,,,L3475
Nd,2,305.111,305.10460+,50,,,0.6803825,4.7428630,4f4.(5I).5d,6L,13/2,,*,11/2,,,L3475
Nd,2,305.215,,80,,,,,,,,,,,,,L3475
Nd,2,305.671,,140,,,,,,,,,,,,,L3475
Nd,2,306.973,,130,,,,,,,,,,,,,L3475
Nd,2,307.143,,65D*,,,,,,,,,,,,,L3475
Nd,2,307.150,,65D*,,,,,,,,,,,,,L3475
Nd,2,307.538,,160,,,,,,,,,,,,,L3475
Nd,2,307.938,307.93638+,95,,,1.5024907,5.5276142,4f3.(4I*).5d (5K*).6s,6K*,13/2,4f3.6s.6p,6K,13/2,,,L3475
Nd,2,308.094,,95,,,,,,,,,,,,,L3475
Nd,2,309.292,309.29390+,240,,,0.1822698,4.1897273,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475
Nd,2,309.848,309.84608+,140,,,0.3802292,4.3805452,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475
Nd,2,309.952,309.95171+,55,,,0.0000000,3.9989529,4f4.(5I).6s,6I,7/2,,*,9/2,,,L3475
Nd,2,310.543,310.54068+,130,,,1.3383214,5.3296901,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.5d.6p,,11/2,,,L3475
Nd,2,310.618,310.61652+,95,,,1.6882532,5.6786474,4f3.(4I*).5d (5K*).6s,6K*,15/2,4f3.5d.6p,,15/2,,,L3475
