point_index,timestamp_start,timestamp_end,parked_nm,requested_nm,reported_nm,pulses_requested,lamp_before,lamp_after,lamp_delta,fire_seconds,pump_mj,ir_mj,laser_state,output_level,batch_mode,sync_mode,burst_length,cooling_c,hv_v,motor_IVH_HM:23,motor_IIH_HM:24,motor_IH_HM:25,motor_DFG/SF:26,motor_SF/DUV:27,motor_PBP1:28,motor_DUV:29
1,2026-08-20T18:58:38.890,2026-08-20T18:58:46.754,800.0,491.2,491.20001220703125,10,37447180,37447202,22,2.203,83.4177017211914,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4311.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
2,2026-08-20T18:58:46.754,2026-08-20T18:58:54.635,800.0,491.25,491.25,10,37447259,37447281,22,2.203,83.75975036621094,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4310.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
3,2026-08-20T18:58:54.635,2026-08-20T18:59:02.635,800.0,491.3,491.29998779296875,10,37447339,37447361,22,2.219,82.94464111328125,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4310.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
4,2026-08-20T18:59:02.635,2026-08-20T18:59:10.544,800.0,491.35,491.3500061035156,10,37447418,37447440,22,2.203,83.40863800048828,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4311.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
5,2026-08-20T18:59:10.544,2026-08-20T18:59:18.450,800.0,491.4,491.3999938964844,10,37447497,37447519,22,2.219,83.46012878417969,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4311.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
6,2026-08-20T18:59:18.450,2026-08-20T18:59:26.324,800.0,491.45,491.45001220703125,10,37447576,37447598,22,2.203,83.93858337402344,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4311.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
7,2026-08-20T18:59:26.324,2026-08-20T18:59:34.235,800.0,491.5,491.5,10,37447655,37447677,22,2.203,84.68427276611328,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4310.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
8,2026-08-20T18:59:34.235,2026-08-20T18:59:42.121,800.0,491.55,491.54998779296875,10,37447734,37447756,22,2.203,84.7337417602539,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4311.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
9,2026-08-20T18:59:42.121,2026-08-20T18:59:49.994,800.0,491.6,491.6000061035156,10,37447812,37447835,23,2.219,84.22124481201172,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4311.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
10,2026-08-20T18:59:49.994,2026-08-20T18:59:57.873,800.0,491.65,491.6499938964844,10,37447891,37447913,22,2.203,83.39140319824219,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4310.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
11,2026-08-20T18:59:57.873,2026-08-20T19:00:05.753,800.0,491.7,491.70001220703125,10,37447970,37447992,22,2.203,83.52825164794922,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4310.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
12,2026-08-20T19:00:05.753,2026-08-20T19:00:13.654,800.0,491.75,491.75,10,37448049,37448071,22,2.203,83.6290283203125,3.3754119873046875,RUN,OFF,Burst,INTERNAL,10.0,30.0,4311.0,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.,Ok.
